ID,ZipCode,State,County,Region,RegionID,RegionName,Pop,Modified,Lat,Lon
18402,43967,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,-99,NULL,40.022316,-80.937888
18403,43968,OH,OH_Columbiana,OH_Columbiana,1105,OH_Columbiana,7419,NULL,40.630299,-80.684899
18404,43970,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,-99,NULL,40.466578,-80.88683
18405,43971,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,1229,NULL,40.154001,-80.707589
18406,43972,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,-99,NULL,40.098565,-80.977296
18407,43973,OH,OH_Guernsey,OH_Guernsey,1627,OH_Guernsey,2103,NULL,40.185221,-81.274158
18408,43974,OH,OH_Harrison,OH_Harrison,1702,OH_Harrison,-99,NULL,40.270598,-80.998899
18409,43976,OH,OH_Harrison,OH_Harrison,1702,OH_Harrison,1569,NULL,40.378022,-80.905034
18410,43977,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,2666,NULL,40.147279,-81.102982
18411,43981,OH,OH_Harrison,OH_Harrison,1702,OH_Harrison,-99,NULL,40.270598,-80.998899
18412,43983,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,514,NULL,40.145447,-81.208389
18413,43984,OH,OH_Harrison,OH_Harrison,1702,OH_Harrison,-99,NULL,40.401862,-81.031352
18414,43985,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,-99,NULL,40.149126,-81.068408
18415,43986,OH,OH_Harrison,OH_Harrison,1702,OH_Harrison,2238,NULL,40.377305,-80.993124
18416,43988,OH,OH_Harrison,OH_Harrison,1702,OH_Harrison,2439,NULL,40.399782,-81.103756
18417,43989,OH,OH_Harrison,OH_Harrison,1702,OH_Harrison,-99,NULL,40.207812,-80.920962
18418,44001,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,21149,NULL,41.370311,-82.256803
18419,44003,OH,OH_Ashtabula,OH_Ashtabula,589,OH_Ashtabula,4629,NULL,41.618093,-80.579915
18420,44004,OH,OH_Ashtabula,OH_Ashtabula,589,OH_Ashtabula,35554,NULL,41.852673,-80.793036
18421,44005,OH,OH_Ashtabula,OH_Ashtabula,589,OH_Ashtabula,-99,NULL,41.867892,-80.786214
18422,44010,OH,OH_Ashtabula,OH_Ashtabula,589,OH_Ashtabula,1942,NULL,41.758421,-80.851542
18423,44011,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,16252,NULL,41.44862,-82.018824
18424,44012,OH,OH_Lorain,OH_Lorain,2194,OH_Lorain,21391,NULL,41.494543,-82.01593
18425,44017,OH,OH_Cuyahoga,OH_Cuyahoga,1191,OH_Cuyahoga,18268,NULL,41.369557,-81.864472
